x,ini,rec
-1.007091771234140953e+00,0.000000000000000000e+00,3.234880373835011258e-02
-6.974546895425756121e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.307651631516103086e+00,0.000000000000000000e+00,3.234880373835011258e-02
-9.676020491588209760e-01,0.000000000000000000e+00,3.234880373835011258e-02
-2.584747532801808245e-01,0.000000000000000000e+00,3.234880373835011258e-02
-4.636784135534081086e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.913786407644329016e-02,0.000000000000000000e+00,3.234880373835011258e-02
-1.737474130133941086e-01,0.000000000000000000e+00,3.234880373835011258e-02
-4.685609712500375945e-01,0.000000000000000000e+00,3.234880373835011258e-02
5.994953372666200764e-01,0.000000000000000000e+00,3.234880373835011258e-02
-4.707984282764083872e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.954898141652615107e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.593135038519747915e-01,0.000000000000000000e+00,3.234880373835011258e-02
9.089297140848446865e-01,0.000000000000000000e+00,3.234880373835011258e-02
-8.500938550306430530e-01,0.000000000000000000e+00,3.234880373835011258e-02
8.368025950519301093e-01,0.000000000000000000e+00,3.234880373835011258e-02
2.137273845928939001e-02,0.000000000000000000e+00,3.234880373835011258e-02
-1.180109310203707018e+00,0.000000000000000000e+00,3.234880373835011258e-02
3.422281887262865196e-01,0.000000000000000000e+00,3.234880373835011258e-02
9.388022108323039738e-01,0.000000000000000000e+00,3.234880373835011258e-02
2.272184400633650014e+00,0.000000000000000000e+00,3.234880373835011258e-02
-9.421892847649792069e-01,0.000000000000000000e+00,3.234880373835011258e-02
-7.724177066868016528e-01,0.000000000000000000e+00,3.234880373835011258e-02
2.611028330124797736e-01,0.000000000000000000e+00,3.234880373835011258e-02
-8.491937759152307086e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.113659257481903975e+00,0.000000000000000000e+00,3.234880373835011258e-02
8.370429194813514551e-01,0.000000000000000000e+00,3.234880373835011258e-02
-6.216117908074790810e-01,0.000000000000000000e+00,3.234880373835011258e-02
6.539574433578987378e-02,0.000000000000000000e+00,3.234880373835011258e-02
-9.007534019271216108e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.038510097519416003e-01,0.000000000000000000e+00,3.234880373835011258e-02
-8.742114186307832491e-03,0.000000000000000000e+00,3.234880373835011258e-02
2.051948431608558998e+00,0.000000000000000000e+00,3.234880373835011258e-02
-3.405601979084323799e-02,0.000000000000000000e+00,3.234880373835011258e-02
-5.653986748670625229e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.042855883015886942e+00,0.000000000000000000e+00,3.234880373835011258e-02
5.412846531682244944e-01,0.000000000000000000e+00,3.234880373835011258e-02
-4.033725689465407216e-01,0.000000000000000000e+00,3.234880373835011258e-02
6.247851612758655859e-01,0.000000000000000000e+00,3.234880373835011258e-02
-8.258978654758493132e-01,0.000000000000000000e+00,3.234880373835011258e-02
7.822629971087395884e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.525247487924735967e+00,0.000000000000000000e+00,3.234880373835011258e-02
2.885034185345223823e-01,0.000000000000000000e+00,3.234880373835011258e-02
-5.017165839767259161e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.587535305525792917e-01,0.000000000000000000e+00,3.234880373835011258e-02
-6.376875074971926072e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.013706387512409934e+00,0.000000000000000000e+00,3.234880373835011258e-02
-7.121907440532374567e-01,0.000000000000000000e+00,3.234880373835011258e-02
-7.332237551707537770e-02,0.000000000000000000e+00,3.234880373835011258e-02
-1.705589400899029107e-01,0.000000000000000000e+00,3.234880373835011258e-02
2.350950793722345888e-01,0.000000000000000000e+00,3.234880373835011258e-02
3.946498869690607814e-01,0.000000000000000000e+00,3.234880373835011258e-02
-8.389958904194311229e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.567552839588672864e-01,0.000000000000000000e+00,3.234880373835011258e-02
-2.923542377857243912e-01,0.000000000000000000e+00,3.234880373835011258e-02
-5.041968999075170377e-01,0.000000000000000000e+00,3.234880373835011258e-02
8.069114230377697483e-01,0.000000000000000000e+00,3.234880373835011258e-02
-5.641683478112864414e-01,0.000000000000000000e+00,3.234880373835011258e-02
-4.098872761467777237e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.051738517710836929e+00,0.000000000000000000e+00,3.234880373835011258e-02
-3.794063049815317168e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.428203182583626940e-01,0.000000000000000000e+00,3.234880373835011258e-02
-5.561138672598012755e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.455060304382941871e-01,0.000000000000000000e+00,3.234880373835011258e-02
-5.656994863269304563e-01,0.000000000000000000e+00,3.234880373835011258e-02
-3.352103973238805268e-01,0.000000000000000000e+00,3.234880373835011258e-02
-8.230903835830979398e-01,0.000000000000000000e+00,3.234880373835011258e-02
-3.721428366573599766e-01,0.000000000000000000e+00,3.234880373835011258e-02
1.437570297072517933e+00,0.000000000000000000e+00,3.234880373835011258e-02
-4.045510381090491880e-02,0.000000000000000000e+00,3.234880373835011258e-02
8.593712457572028063e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.506160062240554098e-01,0.000000000000000000e+00,3.234880373835011258e-02
3.395187602025431239e-01,0.000000000000000000e+00,3.234880373835011258e-02
-1.916618322685616910e-02,0.000000000000000000e+00,3.234880373835011258e-02
9.425333940757530948e-01,0.000000000000000000e+00,3.234880373835011258e-02
4.289429262338563253e-01,0.000000000000000000e+00,3.234880373835011258e-02
-3.699643411760371037e-01,0.000000000000000000e+00,3.234880373835011258e-02
-3.974875036780475823e-01,0.000000000000000000e+00,3.234880373835011258e-02
-3.410151449852190098e-01,0.000000000000000000e+00,3.234880373835011258e-02
3.003301797390220962e-01,0.000000000000000000e+00,3.234880373835011258e-02
8.622309012103395176e-01,0.000000000000000000e+00,3.234880373835011258e-02
